id,Name,Position,Height,Weight,Age,GP,REB,AST,STL,BLK,PTS,Salary
256,"Mo Bamba",C,213,105,25,46,265,35,14,58,367,2000
257,"DeMarcus Cousins",F,208,122,31,41,263,76,34,24,366,2000
258,"Willy Hernangomez",C,211,113,29,47,334,50,22,23,365,2000
259,"Jeremy Lamb",G,196,82,30,36,131,53,34,23,363,2000
260,"Garrison Mathews",G,198,98,26,64,87,26,29,7,354,2000
261,"R.J. Hampton",G,193,79,22,51,179,87,21,10,354,2000
262,"Malachi Flynn",G,185,79,25,47,116,137,38,7,353,2000
263,"Maxi Kleber",F,208,109,31,50,260,68,24,35,353,2000
264,"Ty Jerome",G,196,88,25,33,91,120,20,6,353,2000
265,"LaMarcus Aldridge",F,211,113,36,26,118,49,11,29,352,2000
266,"Chuma Okeke",F,203,104,24,45,181,101,48,22,349,2000
267,"Jalen McDaniels",F,206,93,25,47,169,53,28,19,346,2000
268,"James Ennis III",F,198,98,31,41,166,62,32,7,345,2000
269,"De'Andre Hunter",F,203,100,25,23,110,44,19,12,344,2000
270,"Jarred Vanderbilt",F,203,97,24,64,368,76,64,46,344,2000
271,"Kira Lewis Jr.",G,185,77,22,54,71,124,38,10,343,2000
272,"Deni Avdija",F,206,95,22,54,262,63,32,15,342,2000
273,"Dwight Powell",C,208,109,31,58,234,63,36,30,342,2000
274,"Devin Vassell",G,196,91,22,62,174,56,43,18,341,2000
275,"Mike Muscala",C,211,109,31,35,132,28,8,11,339,2000
276,"JaVale McGee",C,213,122,35,46,239,39,19,54,337,2000
277,"Mychal Mulder",G,191,88,28,60,60,26,12,12,337,2000
278,"Brad Wanamaker",G,191,95,32,61,105,174,43,11,336,2000
279,"Bismack Biyombo",C,203,116,30,66,347,81,17,74,331,2000
280,"JJ Redick",G,191,91,37,44,64,51,11,3,327,2000
281,"Larry Nance Jr.",C,203,111,30,35,235,107,61,17,327,2000
282,"Aron Baynes",C,208,118,34,53,273,47,17,22,324,2000
283,"Nerlens Noel",C,208,100,29,64,407,46,70,141,324,2000
284,"Solomon Hill",F,198,103,31,71,214,75,50,11,317,2000
285,"Josh Okogie",G,193,97,24,59,156,63,54,28,316,2000
286,"Danuel House Jr.",F,198,100,30,36,132,69,20,16,315,2000
287,"Drew Eubanks",C,208,111,26,54,241,42,18,49,311,2000
288,"Frank Kaminsky",C,213,109,30,47,188,79,14,17,310,2000
